pid,label,digital_inv_number,neg_number,artist,title,date_of_subject,location,photographer,date_of_photo,type_of_photo,category,entry_year,donator,order,layout,collection,thumbnail,full,manifest,size
ars113008,"Verrocchio, David, c.1930, silver gelatin by Mannelli, Firenze - Bargello",-,Mannelli 1538,Verrocchio,David,1473-75,Firenze - Bargello,Mannelli,c.1930,silver gelatin,sculpt.Ren.,09.02.1937,Prof R. Offner,00,ars_item,ars,"/img/derivatives/iiif/images/ars113008/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars113008/full/1140,/0/default.jpg",/img/derivatives/iiif/ars113008/manifest.json,""
ars41903,"Verrocchio, David, c.1925, silver gelatin by Brogi, Firenze - Bargello",-,Brogi 10053,Verrocchio,David,1473-75,Firenze - Bargello,Brogi,c.1925,silver gelatin,sculpt.Ren.,10.08.1927,Oscar Reinhardt 1927,01,ars_item,ars,"/img/derivatives/iiif/images/ars41903/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars41903/full/1140,/0/default.jpg",/img/derivatives/iiif/ars41903/manifest.json,""
ars59876,"Verrocchio, David, before 1910, albumen by Mannelli, Firenze - Bargello",-,Mannelli 1205,Verrocchio,David,1473-75,Firenze - Bargello,Mannelli,before 1910,albumen,sculpt.Ren.,11.11.1929,Dr. Heinrich Bodmer,02,ars_item,ars,"/img/derivatives/iiif/images/ars59876/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars59876/full/1140,/0/default.jpg",/img/derivatives/iiif/ars59876/manifest.json,""
ars43195,"Verrocchio, David, c.1925, silver gelatin by Brogi, Firenze - Bargello",-,Brogi 3205d,Verrocchio,David,1473-75,Firenze - Bargello,Brogi,c.1925,silver gelatin,sculpt.Ren.,05.09.1927,Vittorio Fossati-Bellani,03,ars_item,ars,"/img/derivatives/iiif/images/ars43195/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars43195/full/1140,/0/default.jpg",/img/derivatives/iiif/ars43195/manifest.json,""
ars58239,"Verrocchio, David, c.1925, silver gelatin by Brogi, Firenze - Bargello",-,Brogi 3205b,Verrocchio,David,1473-75,Firenze - Bargello,Brogi,c.1925,silver gelatin,sculpt.Ren.,23.07.1929,Dr. Geirg Gronan,04,ars_item,ars,"/img/derivatives/iiif/images/ars58239/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars58239/full/1140,/0/default.jpg",/img/derivatives/iiif/ars58239/manifest.json,""
ars3288,"Verrocchio, David, c.1900, albumen by Anderson, Firenze - Bargello",fld0022440x_p,Anderson 8576,Verrocchio,David,1473-75,Firenze - Bargello,Anderson,c.1900,albumen,Sk. XV,14.05.1903,--,05,ars_item,ars,"/img/derivatives/iiif/images/ars3288/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars3288/full/1140,/0/default.jpg",/img/derivatives/iiif/ars3288/manifest.json,29x42
ars284281,"Verrocchio, David, c.1930?, silver gelatin by Alinari, Firenze - Bargello",fld0022439x_p,Alinari 2641,Verrocchio,David,1473-75,Firenze - Bargello,Alinari,c.1930?,silver gelatin,sculpt.Ren.,25.01.1973,Kress Foundation,06,ars_item,ars,"/img/derivatives/iiif/images/ars284281/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars284281/full/1140,/0/default.jpg",/img/derivatives/iiif/ars284281/manifest.json,31.5x44
ars229900,"Verrocchio, David, n.d., pigment print by Brogi, Firenze - Bargello",fld0022441x_p,Brogi 3205,Verrocchio,David,1473-75,Firenze - Bargello,Brogi,n.d.,pigment print,sculpt.Ren.,18.01.1968,stiftung volkswagenwerk,07,ars_item,ars,"/img/derivatives/iiif/images/ars229900/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars229900/full/1140,/0/default.jpg",/img/derivatives/iiif/ars229900/manifest.json,46x57
ars230055,"Verrocchio, David, 1899, albumen by Brogi, Firenze - Bargello",fld0022442x_p,Brogi 3205,Verrocchio,David,1473-75,Firenze - Bargello,Brogi,1899,albumen,sculpt.Ren.,24.01.1968,stiftung volkswagenwerk,08,ars_item,ars,"/img/derivatives/iiif/images/ars230055/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars230055/full/1140,/0/default.jpg",/img/derivatives/iiif/ars230055/manifest.json,40x54
ars73167,"Donatello, Judith, n.d, silver gelatin by s.n., Piazza della Signoria","",23860,Donatello,Judith,1455-60,Piazza della Signoria,s.n.,n.d,silver gelatin,Sc.Ren.,20.05.1931,geshenk Prof Kauftman,09,ars_item,ars,"/img/derivatives/iiif/images/ars73167/full/250,/0/default.jpg","/img/derivatives/iiif/images/ars73167/full/1140,/0/default.jpg",/img/derivatives/iiif/ars73167/manifest.json,""
